granularity_score,iuu_type,observable_score,area_score,Long-range camera (km) by USV,Long-range camera (km) by Aerial Drone,Long-range camera (km) by Smart Buoy,Long-range camera (km) by Manned Vessel,Long-range camera (km) by Manned Aircraft,Long-range camera (km) by On-shore Command center,Radio Frequency (km) by USV,Radio Frequency (km) by Aerial Drone,Radio Frequency (km) by Smart Buoy,Radio Frequency (km) by Manned Vessel,Radio Frequency (km) by Manned Aircraft,Radio Frequency (km) by On-shore Command center,Hydroacoustics (km) by USV,Hydroacoustics (km) by Aerial Drone,Hydroacoustics (km) by Smart Buoy,Hydroacoustics (km) by Manned Vessel,Hydroacoustics (km) by Manned Aircraft,Hydroacoustics (km) by On-shore Command center,Radar (km) by USV,Radar (km) by Aerial Drone,Radar (km) by Smart Buoy,Radar (km) by Manned Vessel,Radar (km) by Manned Aircraft,Radar (km) by On-shore Command center,Onboard Observer by USV,Onboard Observer by Aerial Drone,Onboard Observer by Smart Buoy,Onboard Observer by Manned Vessel,Onboard Observer by Manned Aircraft,Onboard Observer by On-shore Command center
1,Fishing out of season,Detection by humans or technology,National,3300,6000,50,18000,20000,50,1980,3600,30,10800,12000,30,990,1800,15,5400,6000,15,3300,6000,50,18000,20000,50,66,120,1,360,400,1
1,Fishing in a prohibited zone,Detection by humans or technology,Local,3300,6000,50,18000,20000,50,1980,3600,30,10800,12000,30,990,1800,15,5400,6000,15,3300,6000,50,18000,20000,50,66,120,1,360,400,1
1,Dark vessels (not broadcasting location via VMS/AIS),Requires technological detection,International,3300,6000,50,18000,20000,50,1980,3600,30,10800,12000,30,990,1800,15,5400,6000,15,3300,6000,50,18000,20000,50,66,120,1,360,400,1
2,Illegal Transshipments,Detection by humans or technology,International,1980,3600,30,10800,12000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,120,1,360,400,1
4,Gear-related offense,Detection by humans or technology,National,660,1200,10,3600,4000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,120,1,360,400,1
4,Vessel with false flag,Detection by humans or technology,International,660,1200,10,3600,4000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,120,1,360,400,1
4,Fishing without license,Detection by humans or technology,National,660,1200,10,3600,4000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,120,1,360,400,1
5,Underreporting of fishing effort,Requires human detection,Local,330,600,5,1800,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,120,1,360,400,1
5,Underreporting of fishing catch,Requires human detection,Local,330,600,5,1800,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,120,1,360,400,1
5,Fishing above quota,Requires human detection,Local,330,600,5,1800,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,120,1,360,400,1
