granularity_index,iuu_type,observable,long_range_camera by usv,long_range_camera by aerial_drone,long_range_camera by smart_buoy,long_range_camera by manned_vessel,long_range_camera by manned_aircraft,long_range_camera by on_shore_command_center,radio_frequency by usv,radio_frequency by aerial_drone,radio_frequency by smart_buoy,radio_frequency by manned_vessel,radio_frequency by manned_aircraft,radio_frequency by on_shore_command_center,hydroacoustics by usv,hydroacoustics by aerial_drone,hydroacoustics by smart_buoy,hydroacoustics by manned_vessel,hydroacoustics by manned_aircraft,hydroacoustics by on_shore_command_center,radar by usv,radar by aerial_drone,radar by smart_buoy,radar by manned_vessel,radar by manned_aircraft,radar by on_shore_command_center,onboard_observer by usv,onboard_observer by aerial_drone,onboard_observer by smart_buoy,onboard_observer by manned_vessel,onboard_observer by manned_aircraft,onboard_observer by on_shore_command_center
1,Fishing out of season,2,21642,38013,8012,166190,196350,8012,12469,25447,2922,138544,166190,2922,7238,17671,755,119459,145220,755,21642,38013,8012,166190,196350,8012,3632,11690,7,102922,126923,7
1,Fishing in a prohibited zone,2,21642,38013,8012,166190,196350,8012,12469,25447,2922,138544,166190,2922,7238,17671,755,119459,145220,755,21642,38013,8012,166190,196350,8012,3632,11690,7,102922,126923,7
1,Dark Vessels (not broadcasting location via VMS/AIS),1,21642,38013,8012,166190,196350,8012,12469,25447,2922,138544,166190,2922,7238,17671,755,119459,145220,755,21642,38013,8012,166190,196350,8012,3632,11690,7,102922,126923,7
2,Transhipments,2,12469,25447,2922,138544,166190,2922,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3632,11690,7,102922,126923,7
4,Gear-related offense,2,5809,15394,346,113411,138544,346,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3632,11690,7,102922,126923,7
4,Vessel with false flag,2,5809,15394,346,113411,138544,346,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3632,11690,7,102922,126923,7
4,Fishing without license,2,5809,15394,346,113411,138544,346,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3632,11690,7,102922,126923,7
5,Underreporting of fishing effort,0,4536,13273,95,107521,132025,95,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3632,11690,7,102922,126923,7
5,Underreporting of fishing catch,0,4536,13273,95,107521,132025,95,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3632,11690,7,102922,126923,7
5,Fishing above quota,0,4536,13273,95,107521,132025,95,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3421,11310,1,101788,125664,1,3632,11690,7,102922,126923,7
