sensor,platform
hydroacoustics,aerial_drone
hydroacoustics,manned_aircraft
hydroacoustics,manned_vessel
hydroacoustics,on_shore_command_center
hydroacoustics,smart_buoy
hydroacoustics,usv
long_range_camera,aerial_drone
long_range_camera,manned_aircraft
long_range_camera,manned_vessel
long_range_camera,on_shore_command_center
long_range_camera,smart_buoy
long_range_camera,usv
onboard_observer,aerial_drone
onboard_observer,manned_aircraft
onboard_observer,manned_vessel
onboard_observer,on_shore_command_center
onboard_observer,smart_buoy
onboard_observer,usv
radar,aerial_drone
radar,manned_aircraft
radar,manned_vessel
radar,on_shore_command_center
radar,smart_buoy
radar,usv
radio_frequency,aerial_drone
radio_frequency,manned_aircraft
radio_frequency,manned_vessel
radio_frequency,on_shore_command_center
radio_frequency,smart_buoy
radio_frequency,usv
