sensor,platform,total_cost,sensor_platform,data_type
cell_phone_camera,large_aerial_drone,2,cell_phone_camera by large_aerial_drone,"Image, Video, Location"
cell_phone_camera,large_usv,2,cell_phone_camera by large_usv,"Image, Video, Location"
cell_phone_camera,manned_aircraft,3,cell_phone_camera by manned_aircraft,"Image, Video, Location"
cell_phone_camera,manned_vessel,3,cell_phone_camera by manned_vessel,"Image, Video, Location"
cell_phone_camera,on_shore_command_center,3,cell_phone_camera by on_shore_command_center,"Image, Video, Location"
cell_phone_camera,onboard,NA,cell_phone_camera by onboard,"Image, Video, Location"
cell_phone_camera,small_aerial_drone,1,cell_phone_camera by small_aerial_drone,"Image, Video, Location"
cell_phone_camera,small_usv,1,cell_phone_camera by small_usv,"Image, Video, Location"
cell_phone_camera,smart_buoy,1,cell_phone_camera by smart_buoy,"Image, Video, Location"
electronic_monitoring_system,large_aerial_drone,2,electronic_monitoring_system by large_aerial_drone,"Image, Video, Location"
electronic_monitoring_system,large_usv,2,electronic_monitoring_system by large_usv,"Image, Video, Location"
electronic_monitoring_system,manned_aircraft,3,electronic_monitoring_system by manned_aircraft,"Image, Video, Location"
electronic_monitoring_system,manned_vessel,3,electronic_monitoring_system by manned_vessel,"Image, Video, Location"
electronic_monitoring_system,on_shore_command_center,3,electronic_monitoring_system by on_shore_command_center,"Image, Video, Location"
electronic_monitoring_system,onboard,NA,electronic_monitoring_system by onboard,"Image, Video, Location"
electronic_monitoring_system,small_aerial_drone,1,electronic_monitoring_system by small_aerial_drone,"Image, Video, Location"
electronic_monitoring_system,small_usv,1,electronic_monitoring_system by small_usv,"Image, Video, Location"
electronic_monitoring_system,smart_buoy,1,electronic_monitoring_system by smart_buoy,"Image, Video, Location"
highly_sensitive_hydroacoustics,large_aerial_drone,3,highly_sensitive_hydroacoustics by large_aerial_drone,Location
highly_sensitive_hydroacoustics,large_usv,3,highly_sensitive_hydroacoustics by large_usv,Location
highly_sensitive_hydroacoustics,manned_aircraft,3,highly_sensitive_hydroacoustics by manned_aircraft,Location
highly_sensitive_hydroacoustics,manned_vessel,3,highly_sensitive_hydroacoustics by manned_vessel,Location
highly_sensitive_hydroacoustics,on_shore_command_center,3,highly_sensitive_hydroacoustics by on_shore_command_center,Location
highly_sensitive_hydroacoustics,onboard,NA,highly_sensitive_hydroacoustics by onboard,Location
highly_sensitive_hydroacoustics,small_aerial_drone,3,highly_sensitive_hydroacoustics by small_aerial_drone,Location
highly_sensitive_hydroacoustics,small_usv,3,highly_sensitive_hydroacoustics by small_usv,Location
